year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Normalized year;Normalized month;Normalized day;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;31;16;30;86;0;0.0;1.0;0.5;1.0;0.6956521739130435;1.0;0.7889908256880734;0.0;0.0;0.0;0
2016;1;5;5;0;5;0;0.0;1.0;0.5;0.16129032258064516;0.21739130434782608;0.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;30;20;0;60;0;0.0;1.0;0.5;0.967741935483871;0.8695652173913043;0.0;0.5504587155963303;0.0;0.0;0.0;0
2016;1;18;13;30;51;0;0.0;1.0;0.5;0.5806451612903226;0.5652173913043478;1.0;0.46788990825688076;0.0;0.0;0.0;0
2016;1;6;2;0;15;0;0.0;1.0;0.5;0.1935483870967742;0.08695652173913043;0.0;0.13761467889908258;0.0;0.0;0.0;0
2016;1;13;5;30;5;0;0.0;1.0;0.5;0.41935483870967744;0.21739130434782608;1.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;27;12;30;34;0;0.0;1.0;0.5;0.8709677419354839;0.5217391304347826;1.0;0.3119266055045872;0.0;0.0;0.0;0
2016;1;1;17;0;27;0;0.0;1.0;0.5;0.03225806451612903;0.7391304347826086;0.0;0.24770642201834864;0.0;0.0;0.0;0
2016;1;2;6;0;3;0;0.0;1.0;0.5;0.06451612903225806;0.2608695652173913;0.0;0.027522935779816515;0.0;0.0;0.0;0
2016;1;26;1;30;17;0;0.0;1.0;0.5;0.8387096774193549;0.043478260869565216;1.0;0.1559633027522936;0.0;0.0;0.0;0
2016;1;19;0;30;16;0;0.0;1.0;0.5;0.6129032258064516;0.0;1.0;0.14678899082568808;0.0;0.0;0.0;0
2016;1;11;1;0;27;0;0.99;1.0;0.5;0.3548387096774194;0.043478260869565216;0.0;0.24770642201834864;0.0;0.0416141235813367;0.4;0
2016;1;22;13;30;55;0;0.0;1.0;0.5;0.7096774193548387;0.5652173913043478;1.0;0.5045871559633027;0.0;0.0;0.0;0
2016;1;28;16;0;40;0;0.0;1.0;0.5;0.9032258064516129;0.6956521739130435;0.0;0.3669724770642202;0.0;0.0;0.0;0
2016;1;15;7;0;12;0;1.76;1.0;0.5;0.4838709677419355;0.30434782608695654;0.0;0.11009174311926606;0.0;0.07398066414459857;0.4;0
2016;1;21;14;0;34;0;0.0;1.0;0.5;0.6774193548387096;0.6086956521739131;0.0;0.3119266055045872;0.0;0.0;0.0;0
2016;1;24;1;0;37;0;0.0;1.0;0.5;0.7741935483870968;0.043478260869565216;0.0;0.3394495412844037;0.0;0.0;0.0;0
2016;1;27;14;0;44;0;0.0;1.0;0.5;0.8709677419354839;0.6086956521739131;0.0;0.4036697247706422;0.0;0.0;0.0;0
2016;1;14;0;30;28;0;0.0;1.0;0.5;0.45161290322580644;0.0;1.0;0.25688073394495414;0.0;0.0;0.0;0
2016;1;8;21;0;62;0;0.0;1.0;0.5;0.25806451612903225;0.9130434782608695;0.0;0.5688073394495413;0.0;0.0;0.0;0
2016;1;27;14;30;59;0;0.0;1.0;0.5;0.8709677419354839;0.6086956521739131;1.0;0.5412844036697247;0.0;0.0;0.0;0
2016;1;7;20;0;47;0;0.0;1.0;0.5;0.22580645161290322;0.8695652173913043;0.0;0.43119266055045874;0.0;0.0;0.0;0
2016;1;18;4;0;5;0;0.0;1.0;0.5;0.5806451612903226;0.17391304347826086;0.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;3;3;30;0;0;0.0;1.0;0.5;0.0967741935483871;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0
