tweets;related;rainfall (mm/30min);precision;recall;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min)
25;0;0.0;0.0;0.0;0.22935779816513763;0.0;0.0;0.0;0.0;0.0
15;0;0.0;0.0;0.0;0.13761467889908258;0.0;0.0;0.0;0.0;0.2
9;0;0.0;0.0;0.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0
47;0;0.0;0.0;0.0;0.43119266055045874;0.0;0.0;0.0;0.0;0.0
31;0;0.0;0.0;0.0;0.28440366972477066;0.0;0.0;0.0;0.0;0.0
40;0;0.0;0.0;0.0;0.3669724770642202;0.0;0.0;0.0;0.0;0.0
50;0;0.0;0.0;0.0;0.45871559633027525;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.0;0.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.0;0.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0
10;0;0.2;0.0;0.0;0.09174311926605505;0.0;0.008406893652795292;0.0;0.0;0.2
48;0;0.0;0.0;0.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0
5;0;0.0;0.0;0.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0
26;0;0.0;0.0;0.0;0.23853211009174313;0.0;0.0;0.0;0.0;0.0
24;0;0.0;0.0;0.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0
33;0;0.0;0.0;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0
65;0;0.0;0.0;0.0;0.5963302752293578;0.0;0.0;0.0;0.0;0.0
67;0;0.0;0.0;0.0;0.6146788990825688;0.0;0.0;0.0;0.0;0.0
41;0;0.0;0.0;0.0;0.3761467889908257;0.0;0.0;0.0;0.0;0.2
9;0;0.0;0.0;0.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0
47;0;0.0;0.0;0.0;0.43119266055045874;0.0;0.0;0.0;0.0;0.0
71;0;0.0;0.0;0.0;0.6513761467889908;0.0;0.0;0.0;0.0;0.0
33;0;0.0;0.0;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0
27;0;0.0;0.0;0.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0
45;0;0.0;0.0;0.0;0.41284403669724773;0.0;0.0;0.0;0.0;0.0
24;0;0.0;0.0;0.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0
0;0;10.26;0.0;0.0;0.0;0.0;0.4312736443883985;0.0;0.0;2.75
8;0;0.0;0.0;0.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.0;0.0;0.009174311926605505;0.0;0.0;0.0;0.0;0.0
23;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.21100917431192662;0.5;0.0;0.5;0.5;0.0
25;0;5.31;0.0;0.0;0.22935779816513763;0.0;0.223203026481715;0.0;0.0;12.89
53;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.48623853211009177;0.5;0.0;0.5;0.5;0.0
12;0;0.0;0.0;0.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0
7;0;0.0;0.0;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0
8;0;0.0;0.0;0.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0
25;0;0.0;0.0;0.0;0.22935779816513763;0.0;0.0;0.0;0.0;0.0
48;0;0.0;0.0;0.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0
55;0;0.0;0.0;0.0;0.5045871559633027;0.0;0.0;0.0;0.0;0.0
7;0;0.79;0.0;0.0;0.06422018348623854;0.0;0.03320722992854141;0.0;0.0;0.0
5;0;0.0;0.0;0.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0
34;0;0.0;0.0;0.0;0.3119266055045872;0.0;0.0;0.0;0.0;0.0
25;0;23.79;0.0;0.0;0.22935779816513763;0.0;1.0;0.0;0.0;4.32
7;0;0.0;0.0;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0
77;0;0.0;0.0;0.0;0.7064220183486238;0.0;0.0;0.0;0.0;0.0
39;0;0.4;0.0;0.0;0.3577981651376147;0.0;0.016813787305590584;0.0;0.0;0.0
27;0;0.0;0.0;0.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0
55;0;0.0;0.0;0.0;0.5045871559633027;0.0;0.0;0.0;0.0;0.0
85;0;0.0;0.0;0.0;0.7798165137614679;0.0;0.0;0.0;0.0;0.0
