year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;24;17;30;4;0;0.0;0.39;fraca
2016;1;13;1;30;0;0;0.0;0.0;fraca
2016;1;20;0;0;3;0;0.0;0.0;fraca
2016;1;7;0;30;3;0;0.0;0.0;fraca
2016;1;11;14;30;12;0;0.2;0.4;fraca
2016;1;30;6;0;0;0;0.0;0.0;fraca
2016;1;22;2;0;0;0;0.0;0.0;fraca
2016;1;31;8;30;0;0;0.0;0.0;fraca
2016;1;2;4;0;0;0;0.0;0.0;fraca
2016;1;19;18;0;6;0;0.0;0.0;fraca
2016;1;26;5;30;4;0;0.0;0.0;fraca
2016;1;23;23;0;7;0;0.0;0.0;fraca
2016;1;20;4;0;15;0;0.0;0.0;fraca
2016;1;15;19;30;7;0;0.0;0.0;fraca
2016;1;24;10;30;6;0;0.0;0.0;fraca
2016;1;1;23;0;3;0;0.0;0.0;fraca
2016;1;14;21;0;9;0;0.2;1.38;fraca
2016;1;31;12;30;6;0;0.0;0.0;fraca
2016;1;27;21;0;3;0;1.57;2.16;fraca
2016;1;17;10;0;3;0;0.0;0.0;fraca
2016;1;22;1;30;0;0;0.0;0.0;fraca
2016;1;1;3;30;0;0;0.0;0.0;fraca
2016;1;10;1;30;1;0;0.0;0.0;fraca
2016;1;11;12;0;5;0;0.0;0.0;fraca
2016;1;12;21;0;10;0;0.0;0.0;fraca
2016;1;14;13;30;14;0;0.0;0.0;fraca
2016;1;3;13;0;13;0;0.0;0.0;fraca
2016;1;22;13;0;8;0;0.0;0.0;fraca
2016;1;20;13;30;12;0;0.0;0.0;fraca
2016;1;28;1;30;1;0;0.0;0.0;fraca
2016;1;20;5;0;0;0;0.0;0.0;fraca
2016;1;25;12;30;13;0;0.0;0.0;fraca
2016;1;12;15;0;9;0;0.0;0.0;fraca
2016;1;8;2;30;0;0;0.0;0.0;fraca
2016;1;11;23;30;12;0;0.0;0.0;fraca
2016;1;16;0;30;11;0;0.0;0.0;fraca
2016;1;2;1;30;2;0;0.0;0.0;fraca
2016;1;5;23;30;2;0;0.0;0.0;fraca
2016;1;15;0;0;5;0;2.36;1.57;fraca
2016;1;26;13;0;14;0;0.0;0.0;fraca
2016;1;14;18;0;6;1;0.2;0.79;fraca
2016;1;23;18;0;3;0;0.0;0.0;fraca
2016;1;14;19;30;7;0;0.78;0.59;fraca
2016;1;14;12;0;5;0;0.0;0.0;fraca
2016;1;29;17;30;10;0;0.0;0.0;fraca
2016;1;18;0;30;3;0;0.0;0.0;fraca
2016;1;8;2;0;0;0;0.0;0.0;fraca
2016;1;22;22;0;3;0;0.0;0.0;fraca
2016;1;2;7;30;0;0;0.98;1.18;fraca
2016;1;15;15;0;7;0;0.0;0.0;fraca
2016;1;20;20;30;8;0;0.0;0.0;fraca
2016;1;16;13;30;14;0;0.0;0.0;fraca
2016;1;23;16;0;2;0;0.0;0.0;fraca
2016;1;12;11;30;3;0;0.0;0.0;fraca
2016;1;6;4;30;0;0;0.0;0.0;fraca
2016;1;23;14;30;5;0;0.0;0.0;fraca
2016;1;8;1;0;0;0;0.0;0.0;fraca
2016;1;19;1;30;0;0;0.0;0.0;fraca
2016;1;24;5;30;0;0;0.0;0.0;fraca
2016;1;4;10;0;17;0;0.0;0.0;fraca
