hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
19;30;20;0;0.0;0.8260869565217391;1.0;0.3508771929824561;0.0;0.0;0.0;0
21;30;13;0;0.0;0.9130434782608695;1.0;0.22807017543859648;0.0;0.0;0.0;0
2;30;2;0;0.0;0.08695652173913043;1.0;0.03508771929824561;0.0;0.0;0.0;0
13;0;25;0;0.0;0.5652173913043478;0.0;0.43859649122807015;0.0;0.0;0.0;0
1;0;1;0;0.2;0.043478260869565216;0.0;0.017543859649122806;0.0;0.005509641873278238;0.2;0
23;30;4;0;0.0;1.0;1.0;0.07017543859649122;0.0;0.0;0.0;0
17;30;7;0;0.0;0.7391304347826086;1.0;0.12280701754385964;0.0;0.0;0.0;0
6;0;2;0;0.0;0.2608695652173913;0.0;0.03508771929824561;0.0;0.0;0.0;0
23;0;9;0;0.59;1.0;0.0;0.15789473684210525;0.0;0.0162534435261708;0.0;0
16;30;31;0;0.0;0.6956521739130435;1.0;0.543859649122807;0.0;0.0;0.0;0
20;0;20;1;0.0;0.8695652173913043;0.0;0.3508771929824561;0.25;0.0;0.2;0
0;30;4;0;0.0;0.0;1.0;0.07017543859649122;0.0;0.0;0.0;0
6;0;1;0;0.0;0.2608695652173913;0.0;0.017543859649122806;0.0;0.0;0.0;0
8;0;2;0;0.0;0.34782608695652173;0.0;0.03508771929824561;0.0;0.0;0.0;0
17;0;14;0;0.0;0.7391304347826086;0.0;0.24561403508771928;0.0;0.0;0.0;0
3;30;3;0;0.0;0.13043478260869565;1.0;0.05263157894736842;0.0;0.0;0.0;0
16;0;7;0;0.0;0.6956521739130435;0.0;0.12280701754385964;0.0;0.0;0.0;0
14;0;10;0;0.0;0.6086956521739131;0.0;0.17543859649122806;0.0;0.0;0.0;0
0;0;18;0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0
18;30;27;0;0.0;0.782608695652174;1.0;0.47368421052631576;0.0;0.0;0.0;0
11;0;5;0;0.0;0.4782608695652174;0.0;0.08771929824561403;0.0;0.0;0.0;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0
6;30;4;0;0.0;0.2608695652173913;1.0;0.07017543859649122;0.0;0.0;0.0;0
21;30;15;0;0.0;0.9130434782608695;1.0;0.2631578947368421;0.0;0.0;0.0;0
21;0;20;0;0.0;0.9130434782608695;0.0;0.3508771929824561;0.0;0.0;0.0;0
7;30;1;0;0.0;0.30434782608695654;1.0;0.017543859649122806;0.0;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0
17;0;29;0;0.0;0.7391304347826086;0.0;0.5087719298245614;0.0;0.0;0.0;0
8;0;1;0;0.0;0.34782608695652173;0.0;0.017543859649122806;0.0;0.0;0.0;0
