year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;8;23;30;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;2;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;21;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;15;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;7;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;5;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;21;30;11;0;0.2;0.0;0.0;1.19;fraca
2016;1;23;11;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;5;0;0;0;2.36;0.0;0.0;0.98;fraca
2016;1;9;22;30;0;0;0.4;0.0;0.0;0.4;fraca
2016;1;26;20;30;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;14;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;23;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;1;30;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;14;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;18;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;14;0;24;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;3;30;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;18;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;3;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;15;30;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;2;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;0;30;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;17;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;8;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;1;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;6;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;0;30;3;0;0.0;0.0;0.0;0.0;fraca
