Sensor;Split;Accuracy;F1;Recall;Precision
23;1;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
23;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;3;1.0;1.0;1.0;1.0
23;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;8;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
23;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;4;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;5;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;6;0.959731543624161;0.959731543624161;0.959731543624161;0.959731543624161
24;7;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;5;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
25;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;7;1.0;1.0;1.0;1.0
25;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;2;1.0;1.0;1.0;1.0
26;3;1.0;1.0;1.0;1.0
26;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
26;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;8;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
26;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
26;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;5;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
28;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
28;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;1;1.0;1.0;1.0;1.0
29;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;5;1.0;1.0;1.0;1.0
29;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
29;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;8;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
29;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;10;1.0;1.0;1.0;1.0
31;1;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
31;3;1.0;1.0;1.0;1.0
31;4;1.0;1.0;1.0;1.0
31;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
31;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;10;1.0;1.0;1.0;1.0
37;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;2;1.0;1.0;1.0;1.0
37;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;4;1.0;1.0;1.0;1.0
37;5;1.0;1.0;1.0;1.0
37;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;7;1.0;1.0;1.0;1.0
37;8;1.0;1.0;1.0;1.0
37;9;1.0;1.0;1.0;1.0
37;10;1.0;1.0;1.0;1.0
43;1;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
43;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
43;3;1.0;1.0;1.0;1.0
43;4;1.0;1.0;1.0;1.0
43;5;1.0;1.0;1.0;1.0
43;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
43;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
43;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
43;9;1.0;1.0;1.0;1.0
43;10;1.0;1.0;1.0;1.0
44;1;1.0;1.0;1.0;1.0
